reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-14,wk inc rsv hosp,3,2026-03-07,02,quantile,0.45,4.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.5,8.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,02,quantile,0.5,7.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,02,quantile,0.5,6.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,02,quantile,0.5,5.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.55,8.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,02,quantile,0.55,7.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,02,quantile,0.55,6.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,02,quantile,0.55,5.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.6,9.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,02,quantile,0.6,8.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,02,quantile,0.6,7.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,02,quantile,0.6,6.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.65,9.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,02,quantile,0.65,8.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,02,quantile,0.65,7.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,02,quantile,0.65,7.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.7,9.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,02,quantile,0.7,9.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,02,quantile,0.7,8.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,02,quantile,0.7,7.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.75,10.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,02,quantile,0.75,9.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,02,quantile,0.75,9.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,02,quantile,0.75,8.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.8,11.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,02,quantile,0.8,10.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,02,quantile,0.8,10.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,02,quantile,0.8,9.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.85,11.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,02,quantile,0.85,11.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,02,quantile,0.85,11.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,02,quantile,0.85,11.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.9,12.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,02,quantile,0.9,13.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,02,quantile,0.9,13.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,02,quantile,0.9,13.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.95,14.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,02,quantile,0.95,15.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,02,quantile,0.95,16.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,02,quantile,0.95,16.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.975,15.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,02,quantile,0.975,17.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,02,quantile,0.975,19.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,02,quantile,0.975,20.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,02,quantile,0.99,16.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,02,quantile,0.99,19.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,02,quantile,0.99,22.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,02,quantile,0.99,24.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,04,quantile,0.01,59.0
2026-02-14,wk inc rsv hosp,1,2026-02-21,04,quantile,0.01,54.0
2026-02-14,wk inc rsv hosp,2,2026-02-28,04,quantile,0.01,47.0
2026-02-14,wk inc rsv hosp,3,2026-03-07,04,quantile,0.01,39.0
2026-02-14,wk inc rsv hosp,0,2026-02-14,04,quantile,0.025,65.0
